Designator,Mid X,Mid Y,Rotation,Layer
C1,219.94,-66.93,90.0,top
C2,206.43,-66.6,90.0,top
C3,246.28,-64.03,180.0,top
C4,220.2,-64.63,0.0,top
C5,221.84,-49.05,180.0,top
C6,233.06,-46.46,180.0,top
C7,223.8,-49.05,180.0,top
C8,235.02,-46.48,180.0,top
D1,210.49,-66.71,180.0,top
DS1,187.03,-50.8925,180.0,top
E1,220.91,-30.635,0.0,top
J1,187.3,-70.59,90.0,top
J2,201.33,-70.57,90.0,top
J3,215.725,-70.65,90.0,top
L1,248.0,-62.54,0.0,top
PS1,243.83725,-63.1525,0.0,top
R1,244.83,-60.1675,270.0,top
U1,231.23,-62.09,270.0,top
U2,213.23,-54.88,0.0,top
U3,230.27,-48.565,90.0,top
